epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,5907.5,0.50002,0.29926,0.00446,0.93746,0.9212,0.95398,0.83982,0.54101,0.34716,0.0077,0.000297232,0.000297232,0.000297232
82,5977.46,0.48757,0.2845,0.00439,0.95579,0.91601,0.95529,0.84598,0.53214,0.37993,0.00751,0.000283085,0.000283085,0.000283085
83,6047.76,0.48763,0.2875,0.00441,0.9583,0.91707,0.95592,0.848,0.51982,0.36769,0.00741,0.000268938,0.000268938,0.000268938
84,6117.57,0.50805,0.28102,0.00469,0.95179,0.91122,0.95712,0.84826,0.51845,0.32155,0.00718,0.000254791,0.000254791,0.000254791
85,6186.96,0.49239,0.28212,0.00434,0.92479,0.92544,0.95633,0.84634,0.52765,0.38192,0.00753,0.000240644,0.000240644,0.000240644
86,6258.24,0.48954,0.28058,0.00438,0.90724,0.93077,0.95528,0.84903,0.52384,0.40743,0.00733,0.000226497,0.000226497,0.000226497
87,6327.82,0.49077,0.28372,0.00447,0.94383,0.90238,0.95208,0.84376,0.51436,0.38435,0.00742,0.000212349,0.000212349,0.000212349
88,6398.22,0.49261,0.27925,0.00433,0.94671,0.91761,0.95407,0.85199,0.4997,0.37706,0.00699,0.000198202,0.000198202,0.000198202
89,6468.13,0.48658,0.2738,0.00457,0.93087,0.91432,0.95216,0.84949,0.48545,0.36111,0.0067,0.000184055,0.000184055,0.000184055
90,6537.02,0.4621,0.26179,0.00416,0.92335,0.92856,0.95276,0.84929,0.49363,0.35083,0.00701,0.000169908,0.000169908,0.000169908
91,6614.9,0.37986,0.203,0.00431,0.92207,0.92693,0.94693,0.84234,0.50419,0.32988,0.00723,0.000155761,0.000155761,0.000155761
92,6684.36,0.36445,0.18907,0.00411,0.93038,0.89173,0.94232,0.83493,0.4972,0.33423,0.00694,0.000141614,0.000141614,0.000141614
93,6751.94,0.36758,0.1923,0.00402,0.92352,0.92297,0.94425,0.84259,0.49137,0.31875,0.00684,0.000127467,0.000127467,0.000127467
94,6820.11,0.36106,0.1745,0.00408,0.9395,0.90768,0.94735,0.83985,0.48903,0.31786,0.00677,0.00011332,0.00011332,0.00011332
95,6888.04,0.35863,0.17128,0.00398,0.92822,0.92783,0.94848,0.84571,0.48175,0.31435,0.00669,9.91726e-05,9.91726e-05,9.91726e-05
96,6954.71,0.34428,0.17228,0.00383,0.91099,0.9362,0.94673,0.84508,0.48501,0.3168,0.00677,8.50255e-05,8.50255e-05,8.50255e-05
97,7023.15,0.35198,0.17586,0.00387,0.93266,0.92952,0.94946,0.84805,0.48647,0.30555,0.00673,7.08784e-05,7.08784e-05,7.08784e-05
98,7092.75,0.35163,0.1685,0.00374,0.93875,0.9233,0.94876,0.84758,0.49369,0.3049,0.0069,5.67313e-05,5.67313e-05,5.67313e-05
99,7160.84,0.34474,0.16965,0.00372,0.93408,0.92529,0.95098,0.85135,0.48729,0.30134,0.00678,4.25842e-05,4.25842e-05,4.25842e-05
100,7228.85,0.33796,0.17557,0.00373,0.93734,0.92666,0.95142,0.85129,0.48248,0.30179,0.00669,2.84371e-05,2.84371e-05,2.84371e-05
